"","state","count"
"1","AK",3
"2","AL",245
"3","AR",173
"4","AZ",289
"5","CA",1288
"6","CO",211
"7","CT",142
"8","DC",27
"9","DE",37
"10","FL",907
"11","GA",454
"12","IA",147
"13","ID",62
"14","IL",663
"15","IN",349
"16","KS",148
"17","KY",251
"18","LA",240
"19","MA",234
"20","MD",288
"21","ME",62
"22","MI",545
"23","MN",226
"24","MO",315
"25","MS",144
"26","MT",48
"27","NC",489
"28","ND",25
"29","NE",78
"30","NH",54
"31","NJ",264
"32","NM",104
"33","NV",144
"34","NY",617
"35","OH",615
"36","OK",204
"37","OR",164
"38","PA",494
"39","RI",31
"40","SC",230
"41","SD",30
"42","TN",331
"43","TX",1191
"44","UT",116
"45","VA",401
"46","VT",26
"47","WA",263
"48","WI",299
"49","WV",104
"50","WY",29
